programa,version,indicadorId,ambito,fuente,establecimientoId,establecimientoNombre,sostenedor,comuna,cohorte,anio,estado,sourceWorkbookId,sourceTab,sourceColumns,notas,mapeoPropuesto
parvulario,2026,I.1,A1,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.2,A1,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.3,A1,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.4,A1,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.5,A1,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.6,A1,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.7,A1,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.8,A2,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.9,A2,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
parvulario,2026,I.10,A2,Consultor,PAR-001,Paula Jaraquemada,SLEP Del Pino,El Bosque,2026-2027,2026,presente,1Qr5QvnfJ-_F3hVRikFRWNy-RyruKBK7T37m-DY-obwk,Planilla Central (tab por jardín/consolidado),,Consultor cubierto por la Planilla Central de la cohorte/año — datos consolidados por Focus,
