escuela,sostenedor,indicadorId,ambito,estado,valor
"Escuela Abate Molina","SLEP Los Parques",I.1,A1,CONECTADO_CON_DATO,0
"Escuela Abate Molina","SLEP Los Parques",I.2,A1,CONECTADO_CON_DATO,4
"Escuela Abate Molina","SLEP Los Parques",I.3,A1,CONECTADO_CON_DATO,0.07692307692307693
"Escuela Abate Molina","SLEP Los Parques",I.4,A1,CONECTADO_CON_DATO,0.3076923076923077
"Escuela Abate Molina","SLEP Los Parques",I.5,A1,CONECTADO_CON_DATO,4
"Escuela Abate Molina","SLEP Los Parques",I.6,A1,CONECTADO_CON_DATO,1
"Escuela Abate Molina","SLEP Los Parques",I.7,A1,CONECTADO_CON_DATO,1
"Escuela Abate Molina","SLEP Los Parques",I.8,A1,CONECTADO_CON_DATO,0
"Escuela Abate Molina","SLEP Los Parques",I.9,A1,CONECTADO_CON_DATO,1
"Escuela Abate Molina","SLEP Los Parques",I.10,A1,CONECTADO_CON_DATO,1
"Escuela Abate Molina","SLEP Los Parques",I.11,A2,CONECTADO_CON_DATO,3
"Escuela Abate Molina","SLEP Los Parques",I.12,A2,CONECTADO_CON_DATO,0.375
"Escuela Abate Molina","SLEP Los Parques",I.13,A2,CONECTADO_CON_DATO,0.5
"Escuela Abate Molina","SLEP Los Parques",I.14,A2,CONECTADO_CON_DATO,0.5
"Escuela Abate Molina","SLEP Los Parques",I.15,A2,CONECTADO_CON_DATO,0
"Escuela Abate Molina","SLEP Los Parques",I.16,A2,CONECTADO_CON_DATO,0
"Escuela Abate Molina","SLEP Los Parques",I.17,A2,CONECTADO_CON_DATO,1
"Escuela Abate Molina","SLEP Los Parques",I.18,A2,CONECTADO_CON_DATO,1
"Escuela Abate Molina","SLEP Los Parques",I.19,A2,CONECTADO_CON_DATO,0.003389830508474576
"Escuela Abate Molina","SLEP Los Parques",I.20,A2,CONECTADO_CON_DATO,0
"Escuela Abate Molina","SLEP Los Parques",I.21,A3,SIN_FUENTE,
"Escuela Abate Molina","SLEP Los Parques",I.22,A3,SIN_FUENTE,
"Escuela Abate Molina","SLEP Los Parques",I.23,A3,SIN_FUENTE,
"Escuela Abate Molina","SLEP Los Parques",I.24,A3,SIN_FUENTE,
"Escuela Abate Molina","SLEP Los Parques",I.25,A3,CONECTADO_CON_DATO,2
"Escuela Abate Molina","SLEP Los Parques",I.26,A3,CONECTADO_CON_DATO,14
"Escuela Abate Molina","SLEP Los Parques",I.27,A3,CONECTADO_CON_DATO,0.45
"Escuela Abate Molina","SLEP Los Parques",I.28,A4,CONECTADO_CON_DATO,0
